genres,main_genre,secondary_genre,hours_played
boston hip hop,,,8.260658055555560
british blues,Rock,,8.077377777777780
kentucky hip hop,,,7.888537777777780
sleep,focus,,7.674170833333330
progressive psytrance,edm,,7.6251677777777800
deep house,edm,,7.588826666666670
trance,em,,7.564978611111110
future bass,edm,,7.460178888888890
la pop,pop,,7.297554166666670
modern reggae,reggae,,7.2647975
future house,,,7.238147777777780
alt z,,,7.229627222222220
lounge,Soul,,7.169388055555560
oakland hip hop,,,7.160060555555560
jamtronica,,,7.136314166666670
puerto rican pop,,,7.132545277777780
power pop,,,7.09488
ambeat,,,7.064700277777780
classical era,focus,classical,6.968128888888890
jawaiian,reggae,,6.7760291666666700
chill guitar,focus,,6.6888025
sunshine pop,,,6.663533055555560
instrumental funk,,,6.599608611111110
jazz trumpet,,,6.584844722222220
bgm,,,6.517352222222220
german romanticism,,,6.5058847222222200
instrumental rock,,,6.49608
melodic house,,,6.488104444444450
trap queen,,,6.371664444444450
swedish pop,,,6.350141388888890
ocean,,,6.3183686111111100
outlaw country,,,6.3106655555555600
traditional soul,,,6.294551388888890
belgian edm,,,6.251105833333330
brain waves,,,6.224918055555560
early romantic era,,,6.177715555555560
trip hop,,,6.1303688888888900
minimal tech house,,,6.127616944444440
modern power pop,,,6.0523025
turntablism,,,6.036981388888890
christian hip hop,,,6.027879444444440
punk blues,,,5.877832777777780
lo-fi chill,,,5.845915833333330
wonky,,,5.821493611111110
minimal techno,,,5.800433888888890
jazz blues,,,5.788935555555560
dutch trance,,,5.7620169444444400
texas blues,,,5.6827322222222200
philly indie,,,5.529813888888890
japanese old school hip hop,,,5.434408333333330
ska,,,5.432054444444450
australian indie,,,5.386867777777780
minneapolis sound,,,5.371638611111110
chill out,,,5.350002222222220
dancehall queen,,,5.340716944444440
intelligent dance music,,,5.337659444444440
vapor soul,,,5.323739444444450
raboday,,,5.302955555555560
world,,,5.250720555555560
lo-fi indie,,,5.233741666666670
baltimore hip hop,,,5.228667777777780
german dance,,,5.209191666666670
gaming dubstep,,,5.146077777777780
hawaiian,,,5.120345833333330
fidget house,,,5.097473888888890
synth funk,,,5.062975833333330
uk contemporary r&b,,,5.0480583333333300
san diego rap,,,5.025104722222220
swing,,,4.971531111111110
australian pop,,,4.905676944444440
lo-fi rap,,,4.844981111111110
birmingham metal,,,4.808083888888890
modern hard rock,,,4.681424444444450
melbourne bounce,,,4.672321111111110
rock independant francais,,,4.647918333333330
dark techno,,,4.609089166666670
classic uk pop,,,4.580745555555560
rock-and-roll,,,4.562181388888890
late romantic era,,,4.560500277777780
aussietronica,,,4.556045277777780
arkansas hip hop,,,4.535596388888890
edmonton indie,,,4.506705277777780
uk alternative pop,,,4.499894722222220
uk hip hop,,,4.442328611111110
aesthetic rap,,,4.363045277777780
abstract beats,,,4.308362777777780
healing hz,,,4.282081111111110
british folk,,,4.252631388888890
oxford indie,,,4.241045277777780
sky room,,,4.2296325
portland indie,,,4.192404722222220
eau claire indie,,,4.190368611111110
belgian dance,,,4.0655075
hyphy,,,4.050017777777780
harlem renaissance,,,4.028831944444450
modern blues,,,4.006521111111110
washington indie,,,4.004947222222220
vallenato,,,4.001359444444450
jamaican ska,,,3.9971908333333300
austrian pop,,,3.982324166666670
italian baroque,,,3.9746627777777800
rap conscient,,,3.939568611111110
bay area indie,,,3.9238116666666700
indie anthem-folk,,,3.923111388888890
bedroom soul,,,3.922928333333330
grime,,,3.8807275
bass house,,,3.8754791666666700
jazz guitar,,,3.8738522222222200
nz reggae,,,3.872106666666670
punk,,,3.853924166666670
glitch,,,3.8410725
nu disco,,,3.8286563888888900
progressive trance,,,3.781741111111110
indie surf,,,3.7534591666666700
detroit rock,,,3.7413319444444400
chicago indie,,,3.6982280555555600
austindie,,,3.673373888888890
jazz fusion,,,3.639063888888890
countrygaze,,,3.598720277777780
danish pop,,,3.5790877777777800
trop rock,,,3.577791388888890
albuquerque indie,,,3.5728405555555600
lo-fi,,,3.5718822222222200
ottawa rap,,,3.565905
pop punk,,,3.552042222222220
early reggae,,,3.5507880555555600
new orleans jazz,,,3.5361780555555600
irish singer-songwriter,,,3.4504016666666700
post-romantic era,,,3.4386080555555600
viral pop,,,3.4080225
chicano rap,,,3.405530277777780
melbourne bounce international,,,3.397191388888890
rock drums,,,3.371371388888890
dixieland,,,3.2611291666666700
experimental r&b,,,3.2383047222222200
stoner rock,,,3.2341741666666700
dream pop,,,3.2292702777777800
bubblegum pop,,,3.2239166666666700
indonesian hip hop,,,3.214764722222220
souldies,,,3.213236111111110
st louis rap,,,3.2113155555555600
atlanta bass,,,3.1886638888888900
east coast reggae,,,3.1569719444444400
breakbeat,,,3.15282
uk americana,,,3.1468955555555600
abstract hip hop,,,3.1455175
korean r&b,,,3.140215
kiwi rock,,,3.1380327777777800
classic texas country,,,3.133543611111110
uk alternative hip hop,,,3.1215752777777800
native american traditional,,,3.1119411111111100
seattle hip hop,,,3.107618611111110
jazz pop,,,3.1053325
french indie pop,,,3.0976691666666700
cubaton,,,3.094266111111110
kansas city hip hop,,,3.0723527777777800
native american contemporary,,,3.068359722222220
madchester,,,3.056356666666670
